run_id,episode,reward,epsilon,alpha,gamma
e1510a9d-7f19-4599-8631-7a6773e68b8d,180,1304,0.16216989001100657,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,181,1335,0.1605481911108965,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,182,1264,0.15894270919978754,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,183,1348,0.15735328210778965,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,184,1355,0.15577974928671176,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,185,1310,0.15422195179384465,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,186,1247,0.1526797322759062,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,187,1292,0.15115293495314713,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,188,1360,0.14964140560361566,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,189,1285,0.1481449915475795,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,190,1408,0.1466635416321037,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,191,1309,0.14519690621578268,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,192,1304,0.14374493715362485,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,193,1281,0.1423074877820886,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,194,1249,0.1408844129042677,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,195,1371,0.13947556877522502,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,196,1394,0.13808081308747278,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,197,1271,0.13670000495659804,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,198,1317,0.13533300490703207,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,199,1417,0.13397967485796175,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,200,1225,0.13263987810938213,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,201,1341,0.1313134793282883,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,202,1380,0.13000034453500542,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,203,1352,0.12870034108965536,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,204,1335,0.12741333767875881,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,205,1263,0.12613920430197123,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,206,1240,0.12487781225895152,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,207,1379,0.123629034136362,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,208,1215,0.12239274379499838,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,209,1326,0.1211688163570484,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,210,1120,0.11995712819347792,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,211,1258,0.11875755691154315,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,212,1192,0.11756998134242772,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,213,1351,0.11639428152900344,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,214,1337,0.11523033871371341,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,215,1354,0.11407803532657627,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,216,1330,0.11293725497331052,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,217,1392,0.1118078824235774,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,218,1363,0.11068980359934164,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,219,1382,0.10958290556334822,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,220,1340,0.10848707650771475,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,221,1183,0.1074022057426376,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,222,1349,0.10632818368521123,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,223,1349,0.10526490184835911,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,224,1344,0.10421225282987552,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,225,1279,0.10317013030157676,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,226,1345,0.10213842899856099,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,227,1392,0.10111704470857538,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,228,1352,0.10010587426148963,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,229,1365,0.09910481551887473,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,230,1288,0.09811376736368599,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,231,1375,0.09713262969004913,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,232,1342,0.09616130339314863,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,233,1410,0.09519969035921715,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,234,1305,0.09424769345562498,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,235,1414,0.09330521652106873,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,236,1240,0.09237216435585804,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,237,1273,0.09144844271229946,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,238,1328,0.09053395828517646,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,239,1392,0.08962861870232469,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,240,1365,0.08873233251530144,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,241,1310,0.08784500919014843,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,242,1175,0.08696655909824694,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,243,1130,0.08609689350726446,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,244,1291,0.08523592457219181,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,245,1348,0.0843835653264699,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,246,1442,0.0835397296732052,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,247,1430,0.08270433237647315,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,248,1335,0.08187728905270841,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,249,1372,0.08105851616218133,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,250,1405,0.08024793100055952,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,251,1302,0.07944545169055392,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,252,1183,0.07865099717364837,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,253,1365,0.07786448720191189,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,254,1201,0.07708584232989277,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,255,1305,0.07631498390659384,0.2,0.99
e1510a9d-7f19-4599-8631-7a6773e68b8d,256,1355,0.07555183406752791,0.2,0.99
